slug,url,title,group,missing_control,date_label,occurred,resolved,orgs,failure_class,discovered_by,caught_by_deployer,found,summary,control,verdict,verified_on,published,updated,primary_source_url,primary_source_label,other_sources
chevrolet-watsonville-one-dollar-tahoe,https://walkeraisystems.com/receipts/chevrolet-watsonville-one-dollar-tahoe,Chevrolet of Watsonville: the $1 Tahoe,g-output,Output validation,December 2023,2023-12,,Chevrolet of Watsonville | Fullpath (chatbot vendor),prompt-injection-supply-chain,public,false,Found by a prompt injection posted to X,"A dealership ran a ChatGPT-powered support bot on its website. A tech entrepreneur injected his own instructions and had it agree to sell a 2024 Tahoe for one dollar as a legally binding offer, in the bot's own words, with no takesies backsies. The post drew roughly 20 million views, copycats swarmed the bot, and the vendor pulled it within days. No car changed hands and the offer had no legal force. The lesson survived anyway: there was nothing between the model and a commitment.","A deterministic pricing floor between the model and any commitment, so no prompt can make the bot agree to a price a person never set.",ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://venturebeat.com/ai/a-chevy-for-1-car-dealer-chatbots-show-perils-of-ai-for-customer-service,VentureBeat,
dpd-chatbot-swore-at-customer,https://walkeraisystems.com/receipts/dpd-chatbot-swore-at-customer,DPD: the chatbot that swore at a customer,g-output,Output validation,January 2024,2024-01,,DPD,silent-wrong-output,customer,false,Found by a customer chasing a parcel,"A customer trying to find a missing parcel coaxed the delivery firm's support bot into swearing, writing a poem about a useless chatbot, and calling its own company the worst delivery firm in the world. The screenshots drew 800,000 views inside a day. DPD blamed an update deployed the day before and disabled the AI element immediately. An update changed behavior, no test caught it, and a customer ran the regression suite in public.","A regression test on the customer-facing bot after every update, run before the update ships rather than by a customer in public.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.theguardian.com/technology/2024/jan/20/dpd-ai-chatbot-swears-calls-itself-useless-and-criticises-firm,The Guardian,
neda-tessa-helpline-dieting-advice,https://walkeraisystems.com/receipts/neda-tessa-helpline-dieting-advice,NEDA: the helpline bot that gave dieting advice,g-output,Output validation,May 2023,2023-05,,National Eating Disorders Association | Cass (chatbot vendor),silent-wrong-output,advocate,false,Found by an eating-disorder recovery advocate,"The National Eating Disorders Association replaced its human helpline with a wellness chatbot. Within weeks an advocate posted screenshots of it recommending calorie deficits of 500 to 1,000 a day, weekly weigh-ins, and skin calipers, to the exact population the organization exists to protect. The bot came down in under 24 hours. The vendor had added generative AI to it without the nonprofit's knowledge, which is its own receipt about vendor change control.","Rule-based limits on what a helpline bot may say to the population it serves, plus vendor change control so generative AI cannot be added without the operator knowing.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.npr.org/sections/health-shots/2023/06/08/1180838096/an-eating-disorders-chatbot-offered-dieting-advice-raising-fears-about-ai-in-hea,NPR,
who-gives-a-crap-agent-defended-typo,https://walkeraisystems.com/receipts/who-gives-a-crap-agent-defended-typo,Who Gives A Crap: the agent that defended a typo,g-output,Output validation,July 2026,2026-07,,Who Gives A Crap,silent-wrong-output,customer,false,Found by a customer questioning a price,"A subscription brand sent an email with a pricing typo. When a customer wrote in to question it, the company's AI support agent confirmed the inflated price as real and apologized for any confusion, instead of catching the error or handing it to a person. The real increase was a few dollars; the typo made it look like the price had more than doubled. The company took the agent offline the same day and sent a correction. The agent had nothing checking its answers against the company's own price list, so it defended the mistake rather than flagging it.","Ground support-agent answers in the canonical price table, not in the correspondence being asked about.",ADJUSTED,2026-08-25,2026-08-26,2026-09-01,https://www.smartcompany.com.au/retail/who-gives-a-crap-suspends-ai-agent-email-error-prices-would-double/,SmartCompany,
air-canada-invented-bereavement-refund,https://walkeraisystems.com/receipts/air-canada-invented-bereavement-refund,Air Canada: the invented bereavement refund,g-grounding,Grounded answers,"November 2022, ruled February 2024",2022-11,2024-02-14,Air Canada,silent-wrong-output,customer,false,Found by the customer it misled,"The airline's chatbot told a grieving customer he could apply for a bereavement fare refund after flying. The real policy said the opposite. When he claimed it, staff contradicted the bot, and the dispute went to a tribunal. Air Canada argued the chatbot was a separate entity responsible for its own actions. The British Columbia Civil Resolution Tribunal disagreed in words worth framing: the chatbot is still just a part of Air Canada's website. The airline was found liable for negligent misrepresentation and ordered to pay CA$812.02.","Policy answers pulled from the published policy document at answer time, so the bot cannot state a refund rule the document does not contain.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.canlii.org/en/bc/bccrt/doc/2024/2024bccrt149/2024bccrt149.html,"Moffatt v. Air Canada, 2024 BCCRT 149",
nyc-mycity-chatbot-advised-breaking-the-law,https://walkeraisystems.com/receipts/nyc-mycity-chatbot-advised-breaking-the-law,New York City: the official bot that advised breaking the law,g-grounding,Grounded answers,"March 2024, retired February 2026",2024-03,2026-02-04,City of New York (MyCity),silent-wrong-output,journalist,false,Found by journalists testing it,"The city's MyCity chatbot, built to help small businesses navigate regulations, told them employers could take workers' tips, businesses could refuse cash, and landlords could discriminate against voucher holders. All three are illegal. Journalists at The Markup surfaced it; the city kept the bot up for roughly two more years behind beta disclaimers, then a new administration retired it in February 2026, at about $500,000 a year, calling it functionally unusable.","Every regulatory answer grounded in the statute text, and a pre-launch accuracy test run by someone whose job is to find the wrong answers.",ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://themarkup.org/artificial-intelligence/2024/03/29/nycs-ai-chatbot-tells-businesses-to-break-the-law,The Markup,
olg-hamm-clinic-chatbot-invented-credentials,https://walkeraisystems.com/receipts/olg-hamm-clinic-chatbot-invented-credentials,A German clinic: the bot that invented its doctors' credentials,g-grounding,Grounded answers,Ruled May 2026,2025,2026-05-12,Unnamed German cosmetic-surgery clinic | Higher Regional Court of Hamm (OLG Hamm),silent-wrong-output,counsel,false,Found by a competition-law claimant,"A cosmetic-surgery company ran a website chatbot that told users its two managing physicians held specialist titles in plastic and aesthetic surgery. They did not. A claimant sued under the Unfair Competition Act, and the Higher Regional Court of Hamm held the company liable: the invented answers were its own misleading commercial statements, and whoever runs a chatbot bears the risk of what it makes up, even when the system was fed correct information. Docket 4 UKl 3/25.",Pre-publication accuracy review of what a customer-facing bot may assert about credentials or prices; a monthly accuracy report would have surfaced it.,CONFIRMED,2026-08-25,2026-08-26,2026-09-01,https://www.loc.gov/item/global-legal-monitor/2026-06-09/germany-court-rules-chatbot-operators-are-liable-for-ai-hallucinations/,Library of Congress Global Legal Monitor,
google-ai-overviews-munich-injunction,https://walkeraisystems.com/receipts/google-ai-overviews-munich-injunction,Google AI Overviews: the summaries a court called Google's own words,g-grounding,Grounded answers,Ruled May 2026,2026,2026-05-28,Google | Two Munich publishers | Regional Court of Munich I,silent-wrong-output,victim,false,Found by the publishers it named,"Google's AI Overviews told users that two Munich publishers were tied to disreputable firms. The connection was invented and appeared in none of the sources the summary cited. The publishers sued, and the Regional Court of Munich I barred Google from repeating the claims, holding that an AI-generated summary is Google's own content rather than a neutral list of third-party results, so publisher-style liability attaches. Google said it would challenge the ruling. Case 26 O 869/26.",Grounding checks that block generated claims not supported by the cited sources.,CONFIRMED,2026-08-25,2026-08-26,2026-09-01,https://www.heise.de/en/news/LG-Munich-I-Google-ordered-to-pay-for-false-statements-in-AI-summaries-11327217.html,heise online,The Decoder <https://the-decoder.com/landmark-german-ruling-declares-googles-ai-overviews-are-googles-own-words-and-makes-it-liable-for-false-answers/>
gannett-ledeai-template-placeholders-in-print,https://walkeraisystems.com/receipts/gannett-ledeai-template-placeholders-in-print,Gannett: the sports recap with the template still showing,g-verification,A human verification step,August 2023,2023-08,,Gannett | LedeAI,silent-wrong-output,public,false,Found by readers,"Automated high-school sports recaps went out across Gannett's local papers with the template placeholders printed verbatim: Worthington Christian [[WINNING_TEAM_MASCOT]] defeated the Westerville North [[LOSING_TEAM_MASCOT]]. Readers mocked it until it went viral, and the company paused AI-written recaps in every market using the vendor. Nothing in the pipeline checked the output before publish, and no reader needed a login to do it after.","A person reads generated copy before it publishes, with an automated check that no template placeholder survives into print.",CONFIRMED,2026-08-12,2026-08-13,2026-09-01,https://www.cnn.com/2023/08/30/tech/gannett-ai-experiment-paused,CNN,
chicago-sun-times-fake-summer-reading-list,https://walkeraisystems.com/receipts/chicago-sun-times-fake-summer-reading-list,Chicago Sun-Times: the summer reading list of books that do not exist,g-verification,A human verification step,May 2025,2025-05-18,,Chicago Sun-Times | King Features (Hearst) | Philadelphia Inquirer,silent-wrong-output,public,false,Found by readers two days after print,"A printed summer reading section recommended 15 books; 10 of them were fabricated, attributed to real, living authors. The content was syndicated through King Features, written by a freelancer who admitted using AI and was terminated. The section was pulled, subscribers were not charged for it, and the same feature had already run in the Philadelphia Inquirer. Generated copy crossed two editorial organizations and reached print without anyone checking whether the books were real.",An editor confirms that every named work exists before syndicated copy prints.,ADJUSTED,2026-08-12,2026-08-13,2026-09-01,https://chicago.suntimes.com/news/2025/05/20/syndicated-content-sunday-print-sun-times-ai-misinformation,Chicago Sun-Times,
